手机	183094
东西	53344
感觉	47773
京东	47126
速度	37989
外观	37702
华为	37223
问题	35484
性价比	34594
屏幕	33023
系统	29553
质量	28683
正品	28518
电池	25539
朋友	24965
苹果	24800
经典	20775
送货	20617
价格	18804
游戏	17804
机子	17799
软件	14883
总体	14363
发热	13930
物流	13557
功能	13492
信号	12907
手感	12291
小米	12219
时候	12160
音质	12034
国货	11400
反应	11076
效果	10984
态度	10481
做工	10052
同事	9201
老婆	9158
声音	9050
时间	9047
段时间	8425
客服	7588
机器	7476
三星	7270
耳机	7234
品牌	7128
好评	7120
性能	6651
整体	6246
妈妈	6048
大气	5984
方面	5861
发现问题	5620
大小	5322
杂音	5202
触摸屏	5184
视频	5146
宝贝	5086
内存	4850
包装	4771
电信	4721
白色	4691
缺点	4682
界面	4638
网络	4509
退货	4403
机型	4382
产品	4372
开机	4251
垃圾	4104
反应快	4088
水果	4018
商品	3958
听筒	3947
价钱	3920
死机	3903
后盖	3870
功能齐全	3865
人员	3749
高端	3719
售后	3715
颜色	3665
联通	3638
相机	3594
外形	3514
商家	3465
故障	3372
电话	3284
账号	3195
安卓好	3186
分辨率高	3132
小时	3122
质感	3094
弟弟	3058
实体	3057
情况	2963
地方	2908
价位	2900
行货	2879
品质	2832
老公	2817
礼物	2689
照片	2639
摄像头	2623
哥哥	2536
现象	2527
色彩	2514
配件	2514
边框	2509
铃声	2404
塑料	2401
电视	2398
黑色	2351
电信卡	2345
价格便宜	2340
瑕疵	2329
款式	2328
换货	2320
机身	2313
通病	2310
智能	2305
海水	2266
电量	2265
样子	2241
赠品	2233
节目	2233
电影	2220
分辨率	2205
中国	2157
发票	2142
版本	2122
星期	2120
卡槽	2096
评论	2061
同学	2048
网页	2043
土豪	2038
长度	2010
时尚	2003
真心	1972
合约	1951
原因	1949
画质	1924
诺基亚	1907
结果	1852
超快	1829
订单	1817
优点	1814
毛病	1802
充电器	1797
建议	1776
东东	1769
保护套	1766
次购买	1754
商城	1693
卖家	1687
定制	1684
差距	1638
安卓	1634
山寨	1625
精品	1613
缺陷	1601
金属	1558
电池容量	1498
过程	1493
能力	1490
音量	1455
产品质量	1403
画面	1390
标准	1364
市场	1356
缝隙	1354
按键	1334
中兴	1334
粉丝	1320
实话	1273
女朋友	1272
作用	1263
心得	1257
公司	1254
个人	1252
星星	1236
小弟	1207
方案	1206
鞋子	1205
次屏幕	1196
灵敏度	1179
宝宝	1176
间歇性	1172
指甲	1170
质地	1170
周边	1169
帮工	1161
程序	1147
影子	1141
结合部	1136
自来水	1133
铝质	1133
习惯	1133
反应速度	1131
姑姑	1125
音乐	1125
硬件	1120
情绪	1120
清单	1108
画面清晰	1105
低价	1100
女生	1097
卡机	1083
客户端	1067
爸爸	1065
人民	1055
丰都	1054
用户	1054
环节	1054
新机	1046
主力	1036
数据	1034
套餐	1019
套装	1016
老人	997
流量	981
媳妇	971
旗舰	967
触屏	966
牌子	957
图片	954
办法	939
外壳	930
字体	914
指纹	913
黑屏	911
客户	904
清晰度	901
卡里	898
电池电量	897
细节	877
跟踪服务	860
妹妹	846
此商品	829
盒子	827
全文	802
要求	794
长时间	760
师傅	759
金色	748
卡顿	710
裸机	690
对方	670
反应速度快	665
良心	659
后台	658
材质	656
喇叭	640
固件	627
样式	626
消费者	623
操作系统	620
电子产品	611
黑斑	611
满分	609
关键	604
模式	604
黄屏	584
杠杠	583
操作方便	566
音效	565
粉色	560
扬声器	550
档次	547
电脑	542
战斗机	541
世界	540
单手操作	540
划痕	536
女孩子	535
压力	534
玻璃	533
镜头	533
解锁	532
移动电源	522
营业厅	512
官方	506
传说	505
希望	505
尺寸	503
孩子	500
次通话	497
心情	496
运气	496
厂家	490
空间	488
处理器	484
大屏幕	478
重量	476
语音	473
生日	473
信息	472
专卖店	472
家人	466
开关机	462
儿子	460
电视剧	460
接电话	457
广告	453
位置	448
五星	447
灰色	441
工艺	440
电源键	439
经济	437
非常高	435
国际	432
桌面	430
需要	424
银色	420
货物	418
亮点	417
画面质量	414
女儿	413
黄色	412
外表	412
保护膜	411
插卡	410
网站	408
主流	404
相片	403
礼拜	393
区别	387
技术	386
低调	386
型号	385
老板	380
可能	379
造型	379
痕迹	377
系列	375
厚度	374
发短	367
说明书	367
水平	366
好质量	364
实物	359
礼品	357
奶茶	354
优势	353
理由	352
换卡	349
状态	349
图标	349
专业	349
是非	348
换机	343
开封	338
低端	337
企业	337
亮度	335
芯片	333
素高	331
正版	328
外包装	327
国产货	325
姐姐	324
网友	324
照相机	321
女友	314
卡插	314
塑料袋	313
容量	310
内涵	308
手柄	306
需求	300
