好	321847
不错	208717
快	60343
漂亮	40467
大	37008
高	33501
流畅	31678
有点	25751
多	21291
给力	19693
小	17621
清晰	16973
好看	15861
差	11273
便宜	10944
确实	10452
一般	9001
强大	8718
实惠	8710
慢	8223
真	8049
贵	7923
舒服	7340
耐用	7306
老	7020
荣耀	6776
清楚	6590
明显	6545
爽	6283
合适	5768
久	5677
不行	5451
薄	5382
灵敏	5380
遗憾	4876
实用	4762
棒	4703
失望	4664
素	4405
不好	4391
方便	4309
精美	3982
轻	3901
仔细	3863
强	3769
容易	3759
努力	3736
坏	3665
近	3531
基本	3484
不耐用	3466
稳定	3409
长	3306
新	3208
完美	3185
严重	3005
远	2956
厉害	2752
黄	2607
不给力	2562
正常	2386
不好用	2343
地道	2266
有问题	2162
麻烦	2152
精致	2128
直接	2031
少	1958
差不多	1879
黑	1809
愉快	1785
微	1780
难	1775
短	1771
美观	1749
具体	1743
热	1740
过硬	1734
完全	1712
全	1710
郁闷	1674
顺手	1630
细腻	1609
恶心	1595
强烈	1581
低	1508
公道	1468
一样	1409
暖	1402
轻薄	1376
安	1364
红	1351
忠实	1336
不得了	1289
精细	1285
不足	1271
明白	1260
突出	1252
不对	1243
划算	1230
着急	1203
一模一样	1196
严	1194
开心	1178
听话	1171
及时	1150
卓	1147
干燥	1136
顺眼	1132
惊喜	1121
怪	1110
丰	1097
持久	1070
系统	1052
简单	1029
果断	1016
白	1008
大方	975
速	965
频	925
顺畅	904
齐全	892
酷	887
早	871
没有问题	871
简洁	870
合理	869
满	851
艳	842
不够	814
高大	791
绝对	787
周到	763
突然	731
迅速	729
适中	720
弱	700
清	665
灰	646
出色	621
神速	620
完好	606
高兴	599
艳丽	597
丽	587
烂	575
鲜艳	561
重要	559
干净	526
硬	518
主	502
理想	498
良好	498
普通	493
舒适	484
暗	483
烫	482
畅	478
特	478
伤心	467
疼	466
骚	465
成功	463
真实	463
连续	456
软	455
骄傲	441
犹豫	438
轻巧	433
小心	425
窄	424
脏	414
重	410
顺利	401
美	389
假	387
简约	383
烦人	372
易	370
小巧	368
碎	359
特别	357
可爱	356
完整	354
不好意思	350
用心	348
热情	347
实际	347
实在	345
贴心	344
随便	343
亮	342
最新	341
亲	340
差劲	331
优秀	327
好使	323
严实	322
清新	321
奢华	317
最高	305
